70.37,67.78,5
43.22,12.35,9
18.89,17.65,0
57.77,24.87,7
3.4,61.99,7
7.21,94.12,3
75.61,42.71,8
34.11,92.2,2
60.72,13.94,1
34.73,27.92,2
4.47,39.15,8
16.57,11.23,6
18.31,48.26,2
63.88,6.43,0
64.26,52.35,1
66.84,53.91,7
48.67,22.9,6
14.59,50.32,7
21.81,33.42,10
98.41,86.4,4
71.05,25.05,6
19.45,53.03,4
68.72,43.44,10
58.93,37.26,3
94.64,36.03,7
47.58,99.53,4
50.01,14.38,9
64.34,72.94,0
30.74,18.03,10
20.99,43.51,3
12.13,56.91,1
78.47,14.99,10
5.01,89.22,4
58.99,1.85,8
75.47,7.12,10
22.66,67.72,0
62.8,61.64,5
22.38,52.89,4
35.14,34.5,8
48.72,32.44,8
87.52,39.51,4
68.21,61.82,10
86.48,76.66,2
39.2,52.54,7
37.94,43.21,5
89.91,89.15,9
91.8,14.19,9
12.3,37.42,2
90.59,75.08,2
92.29,64.74,1
6.7,51.49,1
88.79,76.86,3
19.04,87.96,0
11.39,22.74,3
71.78,46.34,0
34.62,41.41,10
84.95,11.39,0
3.74,38.19,4
42.87,40.88,2
80.77,57.67,3
10.97,99.19,7
30.66,33.19,2
72.43,13.83,9
32.01,89.58,0
73.07,29.14,6
54.55,43.27,9
18.68,50.38,1
21.77,36.04,4
64.77,15.93,4
32.76,25.96,2
88.88,16.86,3
11.79,13.0,10
41.09,48.1,9
37.65,88.57,0
74.04,69.69,1
34.18,59.79,10
85.89,50.06,4
28.17,50.28,6
41.81,3.55,2
44.72,25.72,2
76.87,49.89,8
37.37,69.82,6
91.94,16.17,9
19.3,86.24,0
63.19,27.29,10
89.28,54.97,1
49.31,8.19,3
4.07,29.2,1
70.47,95.31,2
65.24,55.81,9
46.24,50.24,10
98.89,62.11,2
52.61,8.33,1
26.65,4.07,1
65.48,13.59,7
22.86,25.96,0
56.27,81.11,5
93.74,26.7,6
21.37,30.12,8
26.99,18.84,4
32.19,64.95,7
23.94,90.55,0
1.22,54.21,6
25.43,9.98,5
22.62,90.37,10
13.81,93.91,10
77.06,5.03,3
98.38,42.77,6
55.14,88.1,7
75.9,14.13,2
43.41,80.48,10
49.35,76.74,6
95.11,2.86,3
88.44,18.98,3
29.77,53.17,5
35.03,99.33,5
84.64,92.51,4
44.09,23.69,7
55.87,69.78,9
86.56,84.25,1
96.87,72.24,0
99.41,71.93,3
4.2,8.13,7
8.74,5.99,3
3.49,3.72,5
99.5,93.23,8
65.44,63.62,6
99.13,94.24,9
36.11,60.35,1
81.88,89.3,4
28.22,11.43,0
0.5,29.3,0
29.79,17.9,0
61.59,54.83,9
46.61,34.85,10
28.72,64.34,4
77.89,9.55,3
37.37,68.48,8
48.62,55.34,4
66.6,94.7,8
50.02,96.79,2
47.95,33.44,1
92.18,94.11,4
65.53,99.37,5
65.49,11.67,5
87.1,68.8,10
3.97,93.51,5
71.21,4.72,0
50.23,44.58,9
26.72,20.88,4
68.67,79.85,1
92.58,23.39,2
53.6,19.1,4
95.96,33.08,7
22.2,29.31,6
5.48,44.58,7
20.54,29.19,3
79.7,2.16,1
4.17,99.53,0
45.94,36.26,0
82.99,64.94,0
17.57,69.93,8
9.49,17.9,10
58.83,91.25,5
55.51,69.14,0
90.62,29.26,8
29.36,13.19,9
91.7,31.25,6
